0012,17.8
0027,18.0
0042,18.03
0057,18.01
0112,17.89
0127,17.82
0142,17.9
0157,17.92
0212,18.22
0227,18.01
0242,17.85
0257,18.08
0313,17.96
0328,18.17
0343,18.08
0358,18.08
0413,18.07
0428,17.87
0443,17.92
0458,17.9
0513,17.69
0528,17.82
0543,17.93
0558,18.04
0613,18.09
0628,17.76
0643,18.02
0658,18.31
0713,18.11
0728,17.84
0743,18.01
0759,17.73
0814,18.25
0829,18.06
0844,17.93
0859,17.8
0914,17.93
0929,17.84
0944,17.87
0959,17.87
1014,17.91
1029,18.08
1044,18.04
1059,18.0
1114,17.97
1129,18.16
