0002,21.45
0017,21.38
0032,21.24
0047,21.01
0102,21.11
0117,21.33
0132,21.51
0147,21.47
0202,21.16
0217,21.09
0232,21.32
0247,21.15
0302,20.93
0317,21.11
0332,21.0
0347,21.43
0402,21.08
0417,21.11
0432,21.33
0447,21.19
0502,21.16
0517,21.41
0533,21.14
0548,21.3
0603,21.36
0618,21.25
0633,21.12
0648,21.5
0703,21.24
0718,21.41
0733,21.59
0748,21.13
0803,21.04
0818,21.42
0833,21.29
0848,21.12
0903,21.01
0918,21.17
0933,21.05
0948,21.39
1003,21.55
1018,21.35
1033,21.39
1048,21.32
1103,21.05
1119,21.0
1134,21.1
1149,21.31
1204,21.38
1219,21.31
1234,21.05
1249,21.46
1304,21.47
1319,21.08
1334,21.3
1349,21.13
1404,21.12
1419,21.01
1434,20.97
1449,21.37
1504,21.14
1519,21.09
1534,21.32
1549,21.13
1604,21.16
1619,21.12
1634,21.29
1649,21.28
1705,21.27
1720,21.19
1735,21.14
1750,21.26
1805,21.33
1820,21.32
1835,21.05
1850,21.12
1905,21.55
1920,21.34
