0008,21.12
0023,21.17
0038,21.09
0053,21.29
0108,21.28
0123,21.11
0138,21.1
0153,21.23
0208,21.06
0223,21.23
0238,21.08
0253,21.14
0308,21.05
0323,21.02
0338,21.08
0353,21.26
0409,21.22
0424,21.18
0439,21.15
0454,21.33
0509,20.96
0524,21.2
0539,21.1
0554,21.11
0609,21.31
0624,20.95
0639,21.25
0654,21.01
0709,21.57
0724,21.52
0739,21.16
0754,21.43
0809,21.29
0824,21.1
0839,20.94
0855,20.95
0910,21.19
0925,21.45
0940,21.09
0955,21.31
1010,20.85
1025,21.24
1040,21.11
1055,20.82
1110,21.28
1125,21.06
1140,21.33
1155,20.97
1210,21.05
1225,20.86
1240,21.09
1255,21.23
1310,20.98
1326,21.24
1341,21.14
1356,21.12
1411,20.9
1426,21.18
1441,21.07
1456,21.11
1511,21.12
1526,21.28
1541,21.02
1556,21.13
1611,20.88
1626,21.38
1641,21.11
1656,21.32
1711,21.43
1726,21.17
1741,21.01
1756,21.3
1812,20.79
1827,21.08
1842,21.24
1857,21.0
1912,21.36
1927,21.38
1942,21.19
1957,21.41
2012,21.26
2027,21.13
2042,21.17
2057,21.41
2112,21.12
2127,21.22
2142,21.37
2157,21.39
