0006,21.64
0021,21.08
0036,21.1
0051,20.97
0106,21.38
0121,21.38
0136,21.49
0151,21.36
0206,21.17
0221,21.39
0236,21.31
0251,21.17
0306,20.95
0321,21.42
0336,20.93
0351,20.92
0406,21.16
0421,21.24
0437,21.36
0452,21.08
0507,21.36
0522,21.28
0537,21.15
0552,21.14
0607,21.13
0622,21.27
0637,21.21
0652,21.2
0707,21.16
0722,21.08
0737,21.41
0752,21.27
0807,21.19
0822,21.19
0837,21.07
0852,21.25
0907,21.33
0922,21.55
0937,21.16
0952,20.95
1008,21.2
1023,21.3
1038,21.07
1053,21.11
1108,21.2
1123,21.07
1138,21.06
1153,21.19
1208,21.1
1223,21.34
1238,21.27
1253,21.23
1308,21.18
1323,21.44
1338,21.29
1353,21.27
1408,21.28
1423,21.22
1438,21.23
1453,21.19
1509,21.2
1524,21.12
1539,21.23
